sequence,Y,M,N,sum_answers
SM,15,36,26,77
SM_NORM,0.1875,0.45,0.325,
SN,19,25,65,109
SN_NORM,0.12751677852348994,0.16778523489932887,0.436241610738255,
M,43,51,34,128
M_NORM,0.27741935483870966,0.32903225806451614,0.21935483870967742,
AM,24,50,29,103
AM_NORM,0.16666666666666666,0.3472222222222222,0.2013888888888889,
N,20,30,64,114
N_NORM,0.12658227848101267,0.189873417721519,0.4050632911392405,
Y,66,25,30,121
Y_NORM,0.41509433962264153,0.15723270440251572,0.18867924528301888,
AN,33,25,58,116
AN_NORM,0.2391304347826087,0.18115942028985507,0.42028985507246375,
