sequence_prefix,document label,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10
A,A,0.104761905,0,0,0,0,0,0,0,0,0
A,M,0,0.528301887,0.405405405,0.236842105,0.175,0.041666667,0.259259259,0.142857143,0.176470588,0.055555556
A,N,0,0.576923077,0.525,0.236842105,0.216216216,0.166666667,0.25,0.16,0.111111111,0.1
A,Y,,,0.392857143,0.379310345,0.142857143,0.175438596,0.18,0.052631579,0.162162162,0.147058824
AM,A,0.113207547,0,0,0,0,0,0,0,0,0
AM,M,0,0.528301887,0.37037037,0.25,0.115384615,0,0,0.222222222,0,0
AM,N,0,0,0.545454545,0.210526316,0.285714286,0.166666667,0.25,0,0.111111111,0.1
AM,Y,,,0.4,0.285714286,0.076923077,0.137931034,0.16,0,0.15,0.111111111
AN,A,0.096153846,0,0,0,0,0,0,0,0,0
AN,M,0,0,0.5,0.222222222,0.285714286,0.041666667,0.259259259,0,0.176470588,0.055555556
AN,N,0,0.576923077,0.517241379,0.263157895,0.173913043,0,0,0.266666667,0,0
AN,Y,,,0.384615385,0.466666667,0.2,0.214285714,0.2,0.111111111,0.176470588,0.1875
NA,M,0.526315789,0.367346939,0.173076923,0.196721311,0.163636364,0.203389831,0.163265306,0.111111111,0.066666667,0
NA,N,0.672413793,0.35,0.307692308,0.301886792,0.076923077,0.192982456,0.076923077,0.195121951,0.127659574,0
NA,Y,0.614035088,0.428571429,0.236363636,0.24137931,0.215384615,0.125,0.1,0.285714286,0.083333333,0
S,M,0,0.65625,0.35483871,0.310344828,0.266666667,0.137931034,0.142857143,0.055555556,0.125,0.0625
S,N,0,0.633333333,0.487179487,0.214285714,0.324324324,0.333333333,0.4,0.166666667,0.125,0.111111111
S,S,0.336956522,0,0,0,0,0,0,0,0,0
S,Y,,,0.181818182,0.257142857,0.2,0.208333333,0.102040816,0.111111111,0,0
SM,M,,0.65625,0.5,0.285714286,0.25,0,0,0.111111111,0,0
SM,N,,,0.5,0.230769231,0.625,0.333333333,0.4,0.25,0.125,0.111111111
SM,S,0.5625,0,0,0,0,0,0,0,0,0
SM,Y,,,0.25,0.25,0.125,0.411764706,0.117647059,0,0,0
SN,M,,,0.2,0.318181818,0.285714286,0.137931034,0.142857143,0,0.125,0.0625
SN,N,,0.633333333,0.483870968,0.2,0.24137931,0,0,0.142857143,0,0
SN,S,0.216666667,0,0,0,0,0,0,0,0,0
SN,Y,,,0.142857143,0.260869565,0.235294118,0.096774194,0.09375,0.166666667,0,0
