sequence,Y,M,N,NS,sum_answers,link1 + link2,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10
sum_links,,,,,,,146,183,123,95,71,64,53,39,26,10
SM,8,14,6,0,28,11,12,21,14,7,8,13,7,2,2,0
SM_NORM,0.2857142857142857,0.5,0.21428571428571427,0.0,,,0,0,0,0,0,0,0,0,0,0
SN,5,10,30,2,47,4,4,38,18,15,16,4,7,2,1,1
SN_NORM,0.10638297872340426,0.2127659574468085,0.6382978723404256,0.0425531914893617,,,0,0,0,0,0,0,0,0,0,0
S,12,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0
S_NORM,1.0,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0
N,13,15,31,3,62,13,39,20,14,18,13,14,5,9,7,0
N_NORM,0.20967741935483872,0.24193548387096775,0.5,0.04838709677419355,,,0,0,0,0,0,0,0,0,0,0
M,13,27,8,0,48,8,30,20,11,11,8,7,4,9,2,0
M_NORM,0.2708333333333333,0.5625,0.16666666666666666,0.0,,,0,0,0,0,0,0,0,0,0,0
Y,38,18,6,0,62,12,35,26,17,13,6,9,6,7,3,0
Y_NORM,0.6129032258064516,0.2903225806451613,0.0967741935483871,0.0,,,0,0,0,0,0,0,0,0,0,0
AM,8,21,9,0,38,1,2,28,16,10,4,4,7,3,5,4
AM_NORM,0.21052631578947367,0.5526315789473685,0.23684210526315788,0.0,,,0,0,0,0,0,0,0,0,0,0
A,3,2,0,0,5,0,5,0,0,0,0,0,0,0,0,0
A_NORM,0.6,0.4,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0
AN,3,16,25,1,45,1,2,30,23,14,10,6,10,4,4,4
AN_NORM,0.06666666666666667,0.35555555555555557,0.5555555555555556,0.022222222222222223,,,0,0,0,0,0,0,0,0,0,0
AY,13,3,1,0,17,0,2,0,8,5,5,5,6,2,2,0
AY_NORM,0.7647058823529411,0.17647058823529413,0.058823529411764705,0.0,,,0,0,0,0,0,0,0,0,0,0
SY,2,3,0,0,5,0,3,0,2,2,1,2,1,1,0,1
SY_NORM,0.4,0.6,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0
link_visibility,,,,,,,369,369,369,369,369,369,325,245,245,117
link_visibility_no_ads,,,,,,,172,172,172,172,172,172,128,128,128,0
link_visibility_A,,,,,,,105,105,105,105,105,105,105,72,72,72
link_visibility_AM,,,,,,,53,53,53,53,53,53,53,38,38,38
link_visibility_AN,,,,,,,52,52,52,52,52,52,52,34,34,34
link_visibility_S,,,,,,,92,92,92,92,92,92,92,45,45,45
link_visibility_SM,,,,,,,32,32,32,32,32,32,32,16,16,16
link_visibility_SN,,,,,,,60,60,60,60,60,60,60,29,29,29
