sequence,Y,M,N,NS,sum_answers,link1 + link2,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10
Y,30,14,12,1,57,12,35,25,17,11,5,12,4,6,6,0
AY,24,16,5,0,45,2,7,23,18,12,7,8,6,7,4,2
SY,25,20,12,2,59,10,26,23,25,16,18,15,16,3,1,3
M,18,26,13,0,57,8,30,22,15,12,13,11,8,12,5,0
AM,16,24,12,1,53,1,6,28,22,13,8,8,11,4,5,4
SM,29,29,15,1,74,13,37,38,25,16,19,18,18,4,1,1
N,16,20,20,2,58,13,39,19,10,19,9,7,3,7,1,0
AN,11,18,23,0,52,1,5,30,25,16,11,7,12,5,6,4
SN,14,15,29,2,60,4,13,38,20,16,15,7,7,3,2,1
,,,,,,,,,,,,,,,,
Y_NORM,0.526315789,0.245614035,0.210526316,0.01754386,,,0,0,0,0,0,0,0,0,0,0
AY_NORM,0.533333333,0.355555556,0.111111111,0,,,0,0,0,0,0,0,0,0,0,0
SY_NORM,0.423728814,0.338983051,0.203389831,0.033898305,,,0,0,0,0,0,0,0,0,0,0
M_NORM,0.315789474,0.456140351,0.228070175,0,,,0,0,0,0,0,0,0,0,0,0
AM_NORM,0.301886792,0.452830189,0.226415094,0.018867925,,,0,0,0,0,0,0,0,0,0,0
SM_NORM,0.391891892,0.391891892,0.202702703,0.013513514,,,0,0,0,0,0,0,0,0,0,0
N_NORM,0.275862069,0.344827586,0.344827586,0.034482759,,,0,0,0,0,0,0,0,0,0,0
AN_NORM,0.211538462,0.346153846,0.442307692,0,,,0,0,0,0,0,0,0,0,0,0
SN_NORM,0.233333333,0.25,0.483333333,0.033333333,,,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,
link_visibility,,,,,,,515,515,515,515,515,515,471,325,325,197
link_visibility_no_ads,,,,,,,172,172,172,172,172,172,128,128,128,0
link_visibility_A,,,,,,,150,150,150,150,150,150,150,102,102,102
link_visibility_AY,,,,,,,45,45,45,45,45,45,45,30,30,30
link_visibility_AM,,,,,,,53,53,53,53,53,53,53,38,38,38
link_visibility_AN,,,,,,,52,52,52,52,52,52,52,34,34,34
link_visibility_S,,,,,,,193,193,193,193,193,193,193,95,95,95
link_visibility_SY,,,,,,,59,59,59,59,59,59,59,28,28,28
link_visibility_SM,,,,,,,74,74,74,74,74,74,74,38,38,38
link_visibility_SN,,,,,,,60,60,60,60,60,60,60,29,29,29
