sequence,Y,M,N,NS,sum_answers,link1 + link2,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10
sum_links,,,,,,,146,183,123,95,71,64,53,39,26,10
SM,13,12,7,0,32,11,18,21,14,8,10,12,8,2,1,1
SM_NORM,0.40625,0.375,0.21875,0.0,,,0,0,0,0,0,0,0,0,0,0
SN,14,15,29,2,60,4,13,38,20,16,15,7,7,3,2,1
SN_NORM,0.23333333333333334,0.25,0.48333333333333334,0.03333333333333333,,,0,0,0,0,0,0,0,0,0,0
M,18,26,13,0,57,8,30,22,15,12,13,11,8,12,5,0
M_NORM,0.3157894736842105,0.45614035087719296,0.22807017543859648,0.0,,,0,0,0,0,0,0,0,0,0,0
AM,16,24,12,1,53,1,6,28,22,13,8,8,11,4,5,4
AM_NORM,0.3018867924528302,0.4528301886792453,0.22641509433962265,0.018867924528301886,,,0,0,0,0,0,0,0,0,0,0
N,16,20,20,2,58,13,39,19,10,19,9,7,3,7,1,0
N_NORM,0.27586206896551724,0.3448275862068966,0.3448275862068966,0.034482758620689655,,,0,0,0,0,0,0,0,0,0,0
Y,30,14,12,1,57,12,35,25,17,11,5,12,4,6,6,0
Y_NORM,0.5263157894736842,0.24561403508771928,0.21052631578947367,0.017543859649122806,,,0,0,0,0,0,0,0,0,0,0
AN,11,18,23,0,52,1,5,30,25,16,11,7,12,5,6,4
AN_NORM,0.21153846153846154,0.34615384615384615,0.4423076923076923,0.0,,,0,0,0,0,0,0,0,0,0,0
link_visibility,,,,,,,369,369,369,369,369,369,325,245,245,117
link_visibility_no_ads,,,,,,,172,172,172,172,172,172,128,128,128,0
link_visibility_A,,,,,,,105,105,105,105,105,105,105,72,72,72
link_visibility_AM,,,,,,,53,53,53,53,53,53,53,38,38,38
link_visibility_AN,,,,,,,52,52,52,52,52,52,52,34,34,34
link_visibility_S,,,,,,,92,92,92,92,92,92,92,45,45,45
link_visibility_SM,,,,,,,32,32,32,32,32,32,32,16,16,16
link_visibility_SN,,,,,,,60,60,60,60,60,60,60,29,29,29
