sequence,Y,M,N,NS,sum_answers,link1 + link2,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10
sum_links,,,,,,,45,70,35,35,25,23,15,0,0,0
SM,6,8,2,0,16,6,9,11,7,5,6,7,5,0,0,0
SM_NORM,0.375,0.5,0.125,0.0,,,0,0,0,0,0,0,0,0,0,0
SN,4,4,9,0,17,3,4,15,6,5,5,2,3,0,0,0
SN_NORM,0.23529411764705882,0.23529411764705882,0.5294117647058824,0.0,,,0,0,0,0,0,0,0,0,0,0
M,5,8,3,0,16,3,11,7,6,5,5,4,0,0,0,0
M_NORM,0.3125,0.5,0.1875,0.0,,,0,0,0,0,0,0,0,0,0,0
AM,4,9,2,0,15,0,2,8,4,5,3,4,2,0,0,0
AM_NORM,0.26666666666666666,0.6,0.13333333333333333,0.0,,,0,0,0,0,0,0,0,0,0,0
N,3,7,6,0,16,5,14,6,2,6,3,2,0,0,0,0
N_NORM,0.1875,0.4375,0.375,0.0,,,0,0,0,0,0,0,0,0,0,0
Y,6,5,1,0,12,2,5,9,2,5,0,2,0,0,0,0
Y_NORM,0.5,0.4166666666666667,0.08333333333333333,0.0,,,0,0,0,0,0,0,0,0,0,0
AN,2,9,7,0,18,0,0,14,8,4,3,2,5,0,0,0
AN_NORM,0.1111111111111111,0.5,0.3888888888888889,0.0,,,0,0,0,0,0,0,0,0,0,0
link_visibility,,,,,,,110,110,110,110,110,110,66,0,0,0
link_visibility_no_ads,,,,,,,44,44,44,44,44,44,0,0,0,0
link_visibility_A,,,,,,,33,33,33,33,33,33,33,0,0,0
link_visibility_AM,,,,,,,15,15,15,15,15,15,15,0,0,0
link_visibility_AN,,,,,,,18,18,18,18,18,18,18,0,0,0
link_visibility_S,,,,,,,33,33,33,33,33,33,33,0,0,0
link_visibility_SM,,,,,,,16,16,16,16,16,16,16,0,0,0
link_visibility_SN,,,,,,,17,17,17,17,17,17,17,0,0,0
