sequence,Y,M,N,NS,sum_answers,link1 + link2,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10
sum_links,,,,,,,39,39,39,27,16,15,14,19,12,6
N,12,5,7,1,25,5,17,8,6,7,2,2,1,5,0,0
N_NORM,0.48,0.2,0.28,0.04,,,0,0,0,0,0,0,0,0,0,0
AN,3,5,9,0,17,0,1,8,9,7,5,2,3,3,4,4
AN_NORM,0.17647058823529413,0.29411764705882354,0.5294117647058824,0.0,,,0,0,0,0,0,0,0,0,0,0
Y,8,5,4,1,18,4,12,6,9,4,1,4,1,2,3,0
Y_NORM,0.4444444444444444,0.2777777777777778,0.2222222222222222,0.05555555555555555,,,0,0,0,0,0,0,0,0,0,0
M,5,8,5,0,18,4,7,10,5,3,4,4,4,6,1,0
M_NORM,0.2777777777777778,0.4444444444444444,0.2777777777777778,0.0,,,0,0,0,0,0,0,0,0,0,0
AM,7,9,2,1,19,0,2,7,10,6,4,3,5,3,4,2
AM_NORM,0.3684210526315789,0.47368421052631576,0.10526315789473684,0.05263157894736842,,,0,0,0,0,0,0,0,0,0,0
link_visibility,,,,,,,97,97,97,97,97,97,97,97,97,36
link_visibility_no_ads,,,,,,,61,61,61,61,61,61,61,61,61,0
link_visibility_A,,,,,,,36,36,36,36,36,36,36,36,36,36
link_visibility_AM,,,,,,,19,19,19,19,19,19,19,19,19,19
link_visibility_AN,,,,,,,17,17,17,17,17,17,17,17,17,17
link_visibility_S,,,,,,,0,0,0,0,0,0,0,0,0,0
link_visibility_SM,,,,,,,0,0,0,0,0,0,0,0,0,0
link_visibility_SN,,,,,,,0,0,0,0,0,0,0,0,0,0
