sequence,Y,M,N,NS,sum_answers,link1 + link2,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10
sum_links,,,,,,,51,50,36,21,21,20,20,15,12,3
M,8,10,5,0,23,1,12,5,4,4,4,3,4,6,4,0
M_NORM,0.34782608695652173,0.43478260869565216,0.21739130434782608,0.0,,,0,0,0,0,0,0,0,0,0,0
N,1,8,7,1,17,3,8,5,2,6,4,3,2,2,1,0
N_NORM,0.058823529411764705,0.47058823529411764,0.4117647058823529,0.058823529411764705,,,0,0,0,0,0,0,0,0,0,0
AM,5,6,8,0,19,1,2,13,8,2,1,1,4,1,1,2
AM_NORM,0.2631578947368421,0.3157894736842105,0.42105263157894735,0.0,,,0,0,0,0,0,0,0,0,0,0
Y,16,4,7,0,27,6,18,10,6,2,4,6,3,4,3,0
Y_NORM,0.5925925925925926,0.14814814814814814,0.25925925925925924,0.0,,,0,0,0,0,0,0,0,0,0,0
SM,3,3,4,0,10,4,6,6,6,1,3,4,3,0,1,1
SM_NORM,0.3,0.3,0.4,0.0,,,0,0,0,0,0,0,0,0,0,0
AN,6,4,7,0,17,1,4,8,8,5,3,3,4,2,2,0
AN_NORM,0.35294117647058826,0.23529411764705882,0.4117647058823529,0.0,,,0,0,0,0,0,0,0,0,0,0
SN,2,0,4,0,6,0,1,3,2,1,2,0,0,0,0,0
SN_NORM,0.3333333333333333,0.0,0.6666666666666666,0.0,,,0,0,0,0,0,0,0,0,0,0
link_visibility,,,,,,,119,119,119,119,119,119,119,119,119,52
link_visibility_no_ads,,,,,,,67,67,67,67,67,67,67,67,67,0
link_visibility_A,,,,,,,36,36,36,36,36,36,36,36,36,36
link_visibility_AM,,,,,,,19,19,19,19,19,19,19,19,19,19
link_visibility_AN,,,,,,,17,17,17,17,17,17,17,17,17,17
link_visibility_S,,,,,,,16,16,16,16,16,16,16,16,16,16
link_visibility_SM,,,,,,,10,10,10,10,10,10,10,10,10,10
link_visibility_SN,,,,,,,6,6,6,6,6,6,6,6,6,6
