sequence,Y,M,N,NS,sum_answers,link1 + link2,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10
sum_links,,,,,,,88,104,62,51,39,35,29,15,12,3
M,13,18,8,0,39,4,23,12,10,9,9,7,4,6,4,0
M_NORM,0.3333333333333333,0.46153846153846156,0.20512820512820512,0.0,,,0,0,0,0,0,0,0,0,0,0
N,4,15,13,1,33,8,22,11,4,12,7,5,2,2,1,0
N_NORM,0.12121212121212122,0.45454545454545453,0.3939393939393939,0.030303030303030304,,,0,0,0,0,0,0,0,0,0,0
AM,9,15,10,0,34,1,4,21,12,7,4,5,6,1,1,2
AM_NORM,0.2647058823529412,0.4411764705882353,0.29411764705882354,0.0,,,0,0,0,0,0,0,0,0,0,0
Y,22,9,8,0,39,8,23,19,8,7,4,8,3,4,3,0
Y_NORM,0.5641025641025641,0.23076923076923078,0.20512820512820512,0.0,,,0,0,0,0,0,0,0,0,0,0
SM,5,5,5,0,15,6,9,9,8,1,4,4,4,0,1,1
SM_NORM,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,,,0,0,0,0,0,0,0,0,0,0
AN,8,13,13,0,34,1,4,21,16,9,6,5,9,2,2,0
AN_NORM,0.23529411764705882,0.38235294117647056,0.38235294117647056,0.0,,,0,0,0,0,0,0,0,0,0,0
SN,4,2,8,0,14,2,3,11,4,6,5,1,1,0,0,0
SN_NORM,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.0,,,0,0,0,0,0,0,0,0,0,0
link_visibility,,,,,,,208,208,208,208,208,208,164,119,119,52
link_visibility_no_ads,,,,,,,111,111,111,111,111,111,67,67,67,0
link_visibility_A,,,,,,,68,68,68,68,68,68,68,36,36,36
link_visibility_AM,,,,,,,34,34,34,34,34,34,34,19,19,19
link_visibility_AN,,,,,,,34,34,34,34,34,34,34,17,17,17
link_visibility_S,,,,,,,29,29,29,29,29,29,29,16,16,16
link_visibility_SM,,,,,,,15,15,15,15,15,15,15,10,10,10
link_visibility_SN,,,,,,,14,14,14,14,14,14,14,6,6,6
