sequence,Y,M,N,NS,sum_answers,link1 + link2,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10
sum_links,,,,,,,92,126,73,59,46,45,34,17,10,4
SM,13,12,7,0,32,11,18,21,14,8,10,12,8,2,1,1
SM_NORM,0.40625,0.375,0.21875,0.0,,,0,0,0,0,0,0,0,0,0,0
SN,7,7,17,2,33,3,6,23,12,8,9,4,3,1,0,1
SN_NORM,0.21212121212121213,0.21212121212121213,0.5151515151515151,0.06060606060606061,,,0,0,0,0,0,0,0,0,0,0
M,12,16,7,0,35,4,21,11,9,8,8,7,3,6,3,0
M_NORM,0.34285714285714286,0.45714285714285713,0.2,0.0,,,0,0,0,0,0,0,0,0,0,0
AM,9,15,10,0,34,1,4,21,12,7,4,5,6,1,1,2
AM_NORM,0.2647058823529412,0.4411764705882353,0.29411764705882354,0.0,,,0,0,0,0,0,0,0,0,0,0
N,3,15,13,1,32,8,21,11,4,12,7,5,2,2,1,0
N_NORM,0.09375,0.46875,0.40625,0.03125,,,0,0,0,0,0,0,0,0,0,0
Y,18,8,6,0,32,6,18,17,6,7,2,7,3,3,2,0
Y_NORM,0.5625,0.25,0.1875,0.0,,,0,0,0,0,0,0,0,0,0,0
AN,8,13,14,0,35,1,4,22,16,9,6,5,9,2,2,0
AN_NORM,0.22857142857142856,0.37142857142857144,0.4,0.0,,,0,0,0,0,0,0,0,0,0,0
link_visibility,,,,,,,233,233,233,233,233,233,189,123,123,68
link_visibility_no_ads,,,,,,,99,99,99,99,99,99,55,55,55,0
link_visibility_A,,,,,,,69,69,69,69,69,69,69,36,36,36
link_visibility_AM,,,,,,,34,34,34,34,34,34,34,19,19,19
link_visibility_AN,,,,,,,35,35,35,35,35,35,35,17,17,17
link_visibility_S,,,,,,,65,65,65,65,65,65,65,32,32,32
link_visibility_SM,,,,,,,32,32,32,32,32,32,32,16,16,16
link_visibility_SN,,,,,,,33,33,33,33,33,33,33,16,16,16
