sequence,Y,M,N,NS,sum_answers,link1 + link2,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10
sum_links,,,,,,,126,163,108,83,62,59,48,35,22,10
SM,13,12,7,0,32,11,18,21,14,8,10,12,8,2,1,1
SM_NORM,0.40625,0.375,0.21875,0.0,,,0,0,0,0,0,0,0,0,0,0
SN,7,7,17,2,33,3,6,23,12,8,9,4,3,1,0,1
SN_NORM,0.21212121212121213,0.21212121212121213,0.5151515151515151,0.06060606060606061,,,0,0,0,0,0,0,0,0,0,0
M,17,23,12,0,52,7,27,20,13,11,12,11,7,12,4,0
M_NORM,0.3269230769230769,0.4423076923076923,0.23076923076923078,0.0,,,0,0,0,0,0,0,0,0,0,0
AM,16,24,12,1,53,1,6,28,22,13,8,8,11,4,5,4
AM_NORM,0.3018867924528302,0.4528301886792453,0.22641509433962265,0.018867924528301886,,,0,0,0,0,0,0,0,0,0,0
N,10,20,17,2,49,12,34,18,7,16,9,6,3,6,1,0
N_NORM,0.20408163265306123,0.40816326530612246,0.3469387755102041,0.04081632653061224,,,0,0,0,0,0,0,0,0,0,0
Y,26,13,10,1,50,10,30,23,15,11,3,11,4,5,5,0
Y_NORM,0.52,0.26,0.2,0.02,,,0,0,0,0,0,0,0,0,0,0
AN,11,18,23,0,52,1,5,30,25,16,11,7,12,5,6,4
AN_NORM,0.21153846153846154,0.34615384615384615,0.4423076923076923,0.0,,,0,0,0,0,0,0,0,0,0,0
link_visibility,,,,,,,321,321,321,321,321,321,277,211,211,104
link_visibility_no_ads,,,,,,,151,151,151,151,151,151,107,107,107,0
link_visibility_A,,,,,,,105,105,105,105,105,105,105,72,72,72
link_visibility_AM,,,,,,,53,53,53,53,53,53,53,38,38,38
link_visibility_AN,,,,,,,52,52,52,52,52,52,52,34,34,34
link_visibility_S,,,,,,,65,65,65,65,65,65,65,32,32,32
link_visibility_SM,,,,,,,32,32,32,32,32,32,32,16,16,16
link_visibility_SN,,,,,,,33,33,33,33,33,33,33,16,16,16
