sequence,Y,M,N,NS,sum_answers,link1 + link2,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10
sum_links,,,,,,,127,143,101,78,55,50,43,34,24,9
M,18,26,13,0,57,8,30,22,15,12,13,11,8,12,5,0
M_NORM,0.315789474,0.456140351,0.228070175,0,,,0,0,0,0,0,0,0,0,0,0
N,16,20,20,2,58,13,39,19,10,19,9,7,3,7,1,0
N_NORM,0.275862069,0.344827586,0.344827586,0.034482759,,,0,0,0,0,0,0,0,0,0,0
AM,16,24,12,1,53,1,6,28,22,13,8,8,11,4,5,4
AM_NORM,0.301886792,0.452830189,0.226415094,0.018867925,,,0,0,0,0,0,0,0,0,0,0
Y,30,14,12,1,57,12,35,25,17,11,5,12,4,6,6,0
Y_NORM,0.526315789,0.245614035,0.210526316,0.01754386,,,0,0,0,0,0,0,0,0,0,0
SM,5,5,5,0,15,6,9,9,8,1,4,4,4,0,1,1
SM_NORM,0.333333333,0.333333333,0.333333333,0,,,0,0,0,0,0,0,0,0,0,0
AN,11,18,22,0,51,1,5,29,25,16,11,7,12,5,6,4
AN_NORM,0.215686275,0.352941176,0.431372549,0,,,0,0,0,0,0,0,0,0,0,0
SN,4,2,8,0,14,2,3,11,4,6,5,1,1,0,0,0
SN_NORM,0.285714286,0.142857143,0.571428571,0,,,0,0,0,0,0,0,0,0,0,0
link_visibility,,,,,,,305,305,305,305,305,305,261,216,216,88
link_visibility_no_ads,,,,,,,172,172,172,172,172,172,128,128,128,0
link_visibility_A,,,,,,,104,104,104,104,104,104,104,72,72,72
link_visibility_AM,,,,,,,53,53,53,53,53,53,53,38,38,38
link_visibility_AN,,,,,,,51,51,51,51,51,51,51,34,34,34
link_visibility_S,,,,,,,29,29,29,29,29,29,29,16,16,16
link_visibility_SM,,,,,,,15,15,15,15,15,15,15,10,10,10
link_visibility_SN,,,,,,,14,14,14,14,14,14,14,6,6,6
