sequence,Y,M,N,NS,sum_answers,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10,
sum_links,,,,,,123,149,98,77,55,53,42,33,22,10,
MM,13,8,7,0,28,14,10,6,9,9,6,3,6,2,0,
MM_NORM,0.464285714,0.285714286,0.25,0,,0,0,0,0,0,0,0,0,0,0,
NN,6,6,15,3,30,21,12,4,9,3,2,3,4,1,0,
NN_NORM,0.2,0.2,0.5,0.1,,0,0,0,0,0,0,0,0,0,0,
MY,2,12,1,0,15,7,6,4,2,2,4,2,4,1,0,
MY_NORM,0.133333333,0.8,0.066666667,0,,0,0,0,0,0,0,0,0,0,0,
MN,4,3,4,0,11,8,4,3,0,1,1,2,2,1,0,
MN_NORM,0.363636364,0.272727273,0.363636364,0,,0,0,0,0,0,0,0,0,0,0,
AM,16,24,12,1,53,6,28,22,13,8,8,11,4,5,4,
AM_NORM,0.301886792,0.452830189,0.226415094,0.018867925,,0,0,0,0,0,0,0,0,0,0,
AN,11,19,22,0,52,5,30,25,16,11,7,12,5,6,4,
AN_NORM,0.211538462,0.365384615,0.423076923,0,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SM,7,9,6,0,22,11,15,10,2,7,8,4,1,1,1,
SM_NORM,0.318181818,0.409090909,0.272727273,0,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SN,6,4,9,2,21,5,14,6,8,5,2,1,0,0,1,
SN_NORM,0.285714286,0.19047619,0.428571429,0.095238095,,0,0,0,0,0,0,0,0,0,0,
NM,2,5,3,0,10,6,4,1,4,2,2,0,2,0,0,
NM_NORM,0.2,0.5,0.3,0,,0,0,0,0,0,0,0,0,0,0,
NY,2,9,1,0,12,9,4,2,3,4,2,0,0,0,0,
,,,,,,,,,,,,,,,,
link_visibility,,,,,,304,304,304,304,304,304,259,208,208,97,
link_visibility_no_ads,,,,,,156,156,156,156,156,156,111,111,111,0,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
YY,16,9,2,0,27,17,13,8,6,1,5,2,2,3,0,1.307692308
YY_NORM,0.592592593,0.333333333,0.074074074,0,,0,0,0,0,0,0,0,0,0,0,
YM,5,1,3,1,10,6,3,3,2,2,3,1,1,1,0,2
YM_NORM,0.5,0.1,0.3,0.1,,0,0,0,0,0,0,0,0,0,0,
YN,6,2,5,0,13,8,6,4,3,0,3,1,2,1,0,1.333333333
YN_NORM,0.461538462,0.153846154,0.384615385,0,,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NY_NORM,0.166666667,0.75,0.083333333,0,,0,0,0,0,0,0,0,0,0,0,
