WorkerId,Filter Reason
A3GM6577HMA0QB,condition_answer answer error
A3IXNJ9U7IGIRS,no reason
A31GTPGWHQVS9B,treatment answer error
A34OMRGRGD22T0,condition_answer answer error
A3AIRKDB2DMC7U,treatment answer error
A3U2LC48LNWXY1,previous knowledge
A1TW2BZRRS874Z,previous knowledge
A0505289TSH2NC1YOHYK,no links
AK35CJJEYFVYK,too quick
A3SJTDFJ03P5LJ,treatment answer error
A7EP5KKL8YQPX,too quick
A3LGOS6K0PFBPM,treatment answer error
A1KXUB2UDA8CQ6,treatment answer error
ARQ05PDNXPFDI,condition_answer answer error
A3PEVWJ109QDEW,treatment answer error
 COPIEDA3MZDFSIZYN1NT ,previous knowledge
zw3hk,condition_answer answer error
A1FYZUUH2OUOOV,previous knowledge
A2CWA5VQZ6IWMQ,treatment answer error
A1302S9HB7AXAF,condition_answer answer error
A3G6NBME8IPR1L,condition_answer answer error
A16CIF4LPUPXNF,previous knowledge
A2JFL3H254VGZ7,previous knowledge
A1Q56N80RJLQ7S,too quick
A17VFZIAVVCCSQ,too quick
A1HX7YHNYSZ8EK,condition_answer answer error
A345VDWYMDWTGD,condition_answer answer error
A1VMSY05VAYEZR,previous knowledge
A2P54BBM8C2T0C,condition_answer answer error
A1PF1T680LSXQ5,previous knowledge
ATKX1EZ2Z9OEM,too quick
A1B57W9Y3Q93OV,treatment answer error
A3BFURSMQ03Q7W,treatment answer error
ALNY6I2MH2KJ1,condition_answer answer error
AK7AUAPMVN0H2,previous knowledge
A2ICP7BP6O2RRE,treatment answer error
A3SQFBCICW2RLB,previous knowledge
ASH4NI9G4222K,previous knowledge
AXKVHJHF1EOVT,treatment answer error
A259OBKPBBIOAJ,treatment answer error
A2LV5432PV1S39,treatment answer error
A3GF0U18Q42H8T,previous knowledge
A3BZ2ITEV420Q3,treatment answer error
ATVBQB2LWU6NT,treatment answer error
A2W3ZKEIFFH4AH,previous knowledge
A1ROEDVMTO9Y3X,treatment answer error
ADS9REHSO48UQ,previous knowledge
A1E6ZLOJMMSX7B,previous knowledge
A9S2WOGQ2ZOO1,previous knowledge
A1C51A1VY9QTTU,previous knowledge
AIV1PB1IW69JH,no date
A11QVZD5ECPL2R,treatment answer error
A3CD3C99T8S6ON,previous knowledge
AD1ILDUXZHASF,too quick
A2PH5T3HCCCXIN,too quick
A3P4SKOC7NIXZP,treatment answer error
A1KUWYYY2YU0CI,previous knowledge
A3588JV6EB95AZ,previous knowledge
A3QJ9UT0247YEJ,previous knowledge
A2OE9VTZFMFZJY,previous knowledge
APFGEIA25Y2IN,previous knowledge
A85URORY8M8PY,previous knowledge
A3SITQVLF6JA08,treatment answer error
A3TS3ZKMHWF7F7,previous knowledge
ATKHPD0KLHLO9,treatment answer error
AYT6G75JNE3OH,treatment answer error
AT8A9XACJK1UR,previous knowledge
A1Z34G2MEZI5I2,previous knowledge
AUM86AFQTDSWT,previous knowledge
A305H0T7WW2SOA,previous knowledge
A293754WKYHGBT,previous knowledge
A2U481IF2121QP,previous knowledge
A32W5S5JWI020D,treatment answer error
AV1OKX807QH9H,previous knowledge
A1TEXCUTI4IUUN,previous knowledge
A3LTGXX5HIYDBM,too quick
A2YQD3FO7R5I7K,condition_answer answer error
A3A0H798UG8VGU,previous knowledge
A24Z3TFXQB0GDP,condition_answer answer error
ATKG4FI2S5MVL,treatment answer error
AZ0F8SS8884VC,previous knowledge
A2C8MIOP1NRD4U,treatment answer error
A2A4EZ7D6MY2I6,treatment answer error
A2ZJWAYA4LH5WX,condition_answer answer error
A2XSGALF8O9ISQ,treatment answer error
A4I7WALFRNQTV,previous knowledge
A1R1E7TZ9OHFIG,condition_answer answer error
A21Z2OEJZYP61M,previous knowledge
A272X64FOZFYLB,no links
A5WAMZZBC03QJ,previous knowledge
A2QLXGRPIN6KEV,previous knowledge
A2ZE857ADAIQI2,previous knowledge
A390FP6231I631,condition_answer answer error
A3K2VSBTT3WUTI,previous knowledge
A3DM34HQ35US2R,previous knowledge
A2T007HZK66WM,treatment answer error
A261O5J94AG1ZG,treatment answer error
AC10U9G34PQGG,too quick
AX9QU59L6ZMHZ,condition_answer answer error
A1U5G5VJKLISE0,previous knowledge
A2N83DS8ORW3W7,treatment answer error
A36MOV8E6SYHCR,too quick
A34LSCB90T5KYE,treatment answer error
A3HTZIL19ARQEO,treatment answer error
A3I6KVLRM43E8D,previous knowledge
A2JWK6KUGICE9H,previous knowledge
AZGPOH3HUID39,treatment answer error
zw3hk,condition_answer answer error
A1HY2OUUWII67J,treatment answer error
A3MZDFSIZYN1NT,condition_answer answer error
A3JTW3FZIXWLFQ,previous knowledge
A21G4TXLM2ZO8K,previous knowledge
AOEO9ZV81R0I4,previous knowledge
A39NRBRR2KQ6GA,previous knowledge
A2WKJ2XE4UIOM4,treatment answer error
A279H5BYP4LYX0,previous knowledge
A3L59AK9RX2EJT,too quick
A38CH3CGVGDVXA,treatment answer error
ANAH6AKNR5WSA,treatment answer error
A1U3W87A1RGC2S,previous knowledge
A3Q5UW29XKGYJA,previous knowledge
A3P5LHY9SBPMM5,previous knowledge
A3MYTEE8WSEQ2Z,treatment answer error
A2EED3HLTA96CP,no links
A2L8BI5CRPR5WP,too quick
A125KTODCS8EOP,treatment answer error
A2WZ71TT9AJPV,too quick
A2LQIPUZ8USGNS,previous knowledge
A3BAC4I8KX0YSV,previous knowledge
A22JD162E9Z65S,condition_answer answer error
A3W0HQHLD5XTS7,previous knowledge
A2U5PD8T5J37OE,treatment answer error
A3LUB4YOALD32J,previous knowledge
A1T0ND039EWAVV,treatment answer error
A1U26HJT2WY5YQ,previous knowledge
A3311YWVCI9JKJ,treatment answer error
A2WC2NO555XU3J,too quick
ADUR1VFO25OJL,previous knowledge
A2IFHU3P1MF54K,previous knowledge
A173XBIUVI8WAW,previous knowledge
A2GUOQ5CY5F1NZ,previous knowledge
A38OPVI04AH4JG,treatment answer error
A3N6DWJC7P3HSI,no links
A2C8EIWVU5KY9L,previous knowledge
A2S406STWTJZV9,treatment answer error
A17FDM5CXENC1O,too quick
A351T7YA1YGHCE,treatment answer error
A3JSI5WV5EJ602,treatment answer error
A2AT5B7RW4VXBX,previous knowledge
A3F1SO6HO48A0E,treatment answer error
A2UJ35MP1WNQF8,previous knowledge
A1JJJOUS3NE84W,previous knowledge
A50UY1556VDIA,previous knowledge
AS834Q2XXOEBP,condition_answer answer error
A23DIRTLAL5RA6,no reason
A1L1OK7TKX3V3Q,treatment answer error
ATTAQA9KLECBA,treatment answer error
A2I4VNAS21FXCE,treatment answer error
A24HOBENULGZA2,treatment answer error
AVTF0QMC2HBHK,treatment answer error
A215Y95B9IT46S,treatment answer error
A16FYJHL0R6CLJ,treatment answer error
A39VDXGL1RVURU,previous knowledge
A3R3UB4E8U9J5O,previous knowledge
A2BU07K7AYSVOF,previous knowledge
A3ADHMAWDD7M6V,previous knowledge
A1TO20GNODKZ3P,treatment answer error
A3M8M7FBXBRCUM,previous knowledge
A2RDFEVMILBEDP,condition_answer answer error
A1PTH9KTRO06EG,previous knowledge
