Transaction ID,Date Initiated,Date Posted,Transaction Type,Payment Method,Recipient ID,Amount,HIT ID,Assignment ID
3WY189A6PAPW96H1R10A638NRFXH5Q,2021-12-25 00:00:36 -0800,2021-12-25 08:07:32 -0800,AssignmentPayment,,AVHGZJNGKHRQJ,-1.000,3XQ4XW3OD9DXYR40Q6D1W2P9D272SQ,3XM0HYN6NK0U2YYIHB9ASHPFYMEEP9
36Y2ER0QKE6TB4OC7Z76XHJP233CRV,2021-12-25 00:00:36 -0800,2021-12-25 06:10:37 -0800,FeePayment,,Mechanical Turk,-0.400,3XQ4XW3OD9DXYR40Q6D1W2P9D272SQ,3XM0HYN6NK0U2YYIHB9ASHPFYMEEP9
3766MIBW8761ABGE210CTC3QYGYEUP,2021-12-25 00:01:36 -0800,2021-12-25 05:18:16 -0800,AssignmentPayment,,A1GD5VPYDUBQ3I,-1.000,3XQ4XW3OD9DXYR40Q6D1W2P9D272SQ,304SM51WA35T8N2QZ1BEMEO5I9CSB7
3J53RWPKPWQETZI07AH3SIFU0R7AGV,2021-12-25 00:01:36 -0800,2021-12-25 06:10:37 -0800,FeePayment,,Mechanical Turk,-0.400,3XQ4XW3OD9DXYR40Q6D1W2P9D272SQ,304SM51WA35T8N2QZ1BEMEO5I9CSB7
3YDGVF13TPFZRP24YO4G8SR5O5SHKB,2021-12-25 00:08:36 -0800,2021-12-25 05:16:00 -0800,AssignmentPayment,,A2XJ1V0GGFO9GQ,-1.000,3XQ4XW3OD9DXYR40Q6D1W2P9D272SQ,31LVTDXBL7BTKHOPBP03A7FE817LRZ
36DK1X7U9X0AUDW6F7ZJ6SABRG1D6Y,2021-12-25 00:08:36 -0800,2021-12-25 06:10:37 -0800,FeePayment,,Mechanical Turk,-0.400,3XQ4XW3OD9DXYR40Q6D1W2P9D272SQ,31LVTDXBL7BTKHOPBP03A7FE817LRZ
3JE4S4R4AKTTRM5HJ0U2RIBIDWLI3U,2021-12-25 00:15:36 -0800,2021-12-25 08:56:14 -0800,AssignmentPayment,,A3AIRKDB2DMC7U,-1.000,3XQ4XW3OD9DXYR40Q6D1W2P9D272SQ,3O6CYIULED21B3S5JX2AOTJED7GWU8
3B5OJ490AJMI4JEBU3YSCS1SMLRDP4,2021-12-25 00:15:36 -0800,2021-12-25 06:10:37 -0800,FeePayment,,Mechanical Turk,-0.400,3XQ4XW3OD9DXYR40Q6D1W2P9D272SQ,3O6CYIULED21B3S5JX2AOTJED7GWU8
3Q69XWVMHMZUD8DRPIZHNHKODN2IMA,2021-12-25 00:21:36 -0800,2021-12-25 09:07:01 -0800,AssignmentPayment,,A2T6PC4Z0BCZX,-1.000,3XQ4XW3OD9DXYR40Q6D1W2P9D272SQ,30JNVC0OR9LRMKQZ7PW5DPC2VYXHQO
3YQ9YXO0DDT242C499DFWKJYHTAE93,2021-12-25 00:21:36 -0800,2021-12-25 06:10:37 -0800,FeePayment,,Mechanical Turk,-0.400,3XQ4XW3OD9DXYR40Q6D1W2P9D272SQ,30JNVC0OR9LRMKQZ7PW5DPC2VYXHQO
33T0SXD3HE2MDVRBB2Q48G1FO45JWE,2021-12-25 00:39:36 -0800,2021-12-25 08:17:24 -0800,AssignmentPayment,,A3R3UB4E8U9J5O,-1.000,3XQ4XW3OD9DXYR40Q6D1W2P9D272SQ,3IJXV6UZ1XKRUGGJQM3QIRNMRXERIS
314AR25000DNPMUJ2WLDRJ2MC7XFHC,2021-12-25 00:39:36 -0800,2021-12-25 06:10:37 -0800,FeePayment,,Mechanical Turk,-0.400,3XQ4XW3OD9DXYR40Q6D1W2P9D272SQ,3IJXV6UZ1XKRUGGJQM3QIRNMRXERIS
3CLYHXW36M2QAD33PCGUNWTAS5TG2P,2021-12-25 00:53:36 -0800,2021-12-25 08:05:42 -0800,AssignmentPayment,,ADUR1VFO25OJL,-1.000,3XQ4XW3OD9DXYR40Q6D1W2P9D272SQ,3CP1TO84PT2YE84J4C5VSAB9AJV25H
3NP75TRLCUG74M4Q17U7S2829VJBOE,2021-12-25 00:53:36 -0800,2021-12-25 06:10:37 -0800,FeePayment,,Mechanical Turk,-0.400,3XQ4XW3OD9DXYR40Q6D1W2P9D272SQ,3CP1TO84PT2YE84J4C5VSAB9AJV25H
3987V3YY1WQW39LXALWUFXCGURWLMR,2021-12-25 01:09:36 -0800,2021-12-25 05:45:04 -0800,AssignmentPayment,,A1N8TKTLXV92QR,-1.000,3XQ4XW3OD9DXYR40Q6D1W2P9D272SQ,333U7HK6I9GTOHHKQ3T6P3LIPBFJDT
3V9WGGQYBKWEOC36ZALLHNGB992H9M,2021-12-25 01:09:36 -0800,2021-12-25 06:10:37 -0800,FeePayment,,Mechanical Turk,-0.400,3XQ4XW3OD9DXYR40Q6D1W2P9D272SQ,333U7HK6I9GTOHHKQ3T6P3LIPBFJDT
386WB6DBARIE9IOLJEZL1N3ORWJ4I3,2021-12-25 01:23:36 -0800,2021-12-25 07:08:13 -0800,AssignmentPayment,,A279H5BYP4LYX0,-1.000,3XQ4XW3OD9DXYR40Q6D1W2P9D272SQ,3LRKMWOKB5IWLMO8B0CBHEI4BI32ZO
3QKCXEJRTIRKCPVYYC1JZFCS1WJ05E,2021-12-25 01:23:36 -0800,2021-12-25 06:10:37 -0800,FeePayment,,Mechanical Turk,-0.400,3XQ4XW3OD9DXYR40Q6D1W2P9D272SQ,3LRKMWOKB5IWLMO8B0CBHEI4BI32ZO
3ZPC0LPI3KM4649YF0GX886Q7INI2L,2021-12-25 02:15:36 -0800,2021-12-25 06:13:15 -0800,AssignmentPayment,,A9S2WOGQ2ZOO1,-1.000,3XQ4XW3OD9DXYR40Q6D1W2P9D272SQ,3MRNMEIQW57ZJ75KTO5J5IYAT0NLD0
