sequence,Y,M,N,NS,sum_answers,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10
Y,27,12,10,1,50,31,22,15,11,3,11,4,5,5,0
M,19,23,12,0,54,29,20,13,11,12,11,7,12,4,0
N,10,20,19,3,52,36,20,7,16,9,6,3,6,1,0
A,11,19,22,0,52,5,30,25,16,11,7,12,5,6,4
sum_links,,,,,,101,92,60,54,35,35,26,28,16,4
links all,,,,,,0.485576923,0.442307692,0.288461538,0.259615385,0.168269231,0.168269231,0.159509202,0.191780822,0.109589041,0.114285714
sum_links_no_ads,,,,,,,,,,,,,,,
links_no_ads,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
link_visibility,,,,,,208,208,208,208,208,208,163,146,146,35
link_visibility_no_ads,,,,,,156,156,156,156,156,156,111,111,111,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Y_NORM,0.54,0.24,0.2,0.02,,0,0,0,0,0,0,0,0,0,0
M_NORM,0.351851852,0.425925926,0.222222222,0,,0,0,0,0,0,0,0,0,0,0
N_NORM,0.192307692,0.384615385,0.365384615,0.057692308,,0,0,0,0,0,0,0,0,0,0
A_NORM,0.211538462,0.365384615,0.423076923,0,,0,0,0,0,0,0,0,0,0,0
