sequence,Y,M,N,NS,sum_answers,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10
Y,13,2,5,0,20,14,7,4,2,2,5,3,3,2,0
M,7,8,4,0,19,10,4,3,3,3,3,3,6,3,0
N,0,8,9,1,18,9,6,2,6,4,3,2,2,1,0
A,6,5,7,0,18,4,9,8,5,3,3,4,2,2,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Y_NORM,0.65,0.1,0.25,0,,0,0,0,0,0,0,0,0,0,0
M_NORM,0.368421053,0.421052632,0.210526316,0,,0,0,0,0,0,0,0,0,0,0
N_NORM,0,0.444444444,0.5,0.055555556,,0,0,0,0,0,0,0,0,0,0
A_NORM,0.333333333,0.277777778,0.388888889,0,,0,0,0,0,0,0,0,0,0,0
