sequence_prefix,FEEDBACK_Y,M,N,NS,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10,,
Y,28,11,8,1,31,21,12,10,5,10,4,3,5,0,48,101
N,11,17,19,2,34,17,10,16,7,6,3,5,1,0,49,99
M,14,22,11,0,27,15,15,9,11,10,6,9,5,0,47,107
AN,6,13,17,0,4,19,18,13,7,5,9,5,6,2,36,88
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Y,0.583333333,0.229166667,0.166666667,0.020833333,0.306930693,0.207920792,0.118811881,0.099009901,0.04950495,0.099009901,0.03960396,0.02970297,0.04950495,0,1,1
N,0.224489796,0.346938776,0.387755102,0.040816327,0.343434343,0.171717172,0.101010101,0.161616162,0.070707071,0.060606061,0.03030303,0.050505051,0.01010101,0,1,1
M,0.29787234,0.468085106,0.234042553,0,0.252336449,0.140186916,0.140186916,0.08411215,0.102803738,0.093457944,0.056074766,0.08411215,0.046728972,0,1,1
A,0.166666667,0.361111111,0.472222222,0,0.045454545,0.215909091,0.204545455,0.147727273,0.079545455,0.056818182,0.102272727,0.056818182,0.068181818,0.022727273,1,1
