sequence,Y,M,N,NS,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10
MMM,9,6,5,0,9,6,2,5,5,4,3,6,2,0
NNN,4,4,10,2,14,8,3,7,3,2,3,4,1,0
MYN,2,12,1,0,7,6,4,2,2,4,2,4,1,0
MNY,4,3,4,0,8,4,3,0,1,1,2,2,1,0
ANN,4,11,15,0,1,17,15,7,7,3,5,1,4,2
YYY,13,5,2,0,14,7,6,3,1,3,2,2,3,0
YNM,6,2,5,0,8,6,4,3,0,3,1,2,1,0
ANY,4,2,6,0,1,7,5,3,3,4,4,2,1,1
YMN,5,1,3,1,6,3,3,2,2,3,1,1,1,0
NMY,2,5,3,0,6,4,1,4,2,2,0,2,0,0
ANM,3,6,1,0,3,6,5,6,1,0,3,2,1,1
NYM,2,9,1,0,9,4,2,3,4,2,0,0,0,0
MMY,1,1,1,0,1,2,1,2,2,1,0,0,0,0
NNY,2,1,2,0,4,2,0,0,0,0,0,0,0,0
NNM,0,1,3,1,3,2,1,2,0,0,0,0,0,0
YYN,1,3,0,0,1,3,2,3,0,2,0,0,0,0
MMN,3,1,1,0,4,2,3,2,2,1,0,0,0,0
YYM,2,1,0,0,2,3,0,0,0,0,0,0,0,0
