order,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,
1,63,31,17,7,8,5,4,8,3,0,147
2,12,19,16,17,5,6,5,4,4,1,91
3,1,4,6,6,6,9,9,7,4,1,56
4,0,1,3,2,3,3,3,4,3,2,28
5,1,1,0,1,2,1,1,5,0,0,17
6,0,1,0,0,0,0,1,0,2,0,10
7,0,0,1,0,0,1,0,0,0,0,9
8,0,0,0,1,0,0,0,0,0,0,9
9,0,0,0,0,0,0,0,0,0,0,9
10,0,0,0,0,0,0,0,0,0,0,10
,77,57,43,34,24,25,23,28,16,4,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
order,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,
1,63,31,17,7,8,5,4,8,3,0,147
2,12,19,16,17,5,6,5,4,4,1,91
3,1,4,6,6,6,9,9,7,4,1,56
4,0,1,3,2,3,3,3,4,3,2,28
5,1,1,0,1,2,1,1,5,0,0,17
6,0,1,0,0,0,0,1,0,2,0,10
7,0,0,1,0,0,1,0,0,0,0,9
8,0,0,0,1,0,0,0,0,0,0,9
9,0,0,0,0,0,0,0,0,0,0,9
10,0,0,0,0,0,0,0,0,0,0,10
,77,57,43,34,24,25,23,28,16,4,
