score,Y,M,N,NS,Y_count,M_count,N_count
0.62,0.6956521739130435,0.17391304347826086,0.13043478260869565,,16,4,3
1.83,0.5,0.18421052631578946,0.3157894736842105,,19,7,12
0.38,0.2777777777777778,0.3888888888888889,0.3333333333333333,,5,7,6
1.39,0.375,0.4583333333333333,0.16666666666666666,,9,11,4
0.61,0.23529411764705882,0.4117647058823529,0.35294117647058826,,4,7,6
0.82,0.26666666666666666,0.26666666666666666,0.4666666666666667,,4,4,7
0.37,0.375,0.5,0.125,,3,4,1
0.58,0.5,0.3333333333333333,0.16666666666666666,,3,2,1
1.50,0.3,0.2,0.5,,3,2,5
1.25,0.3,0.6,0.1,,3,6,1
0.50,0.3333333333333333,0.6666666666666666,0.0,,2,4,0
0.70,0.0,0.5,0.5,,0,2,2
